have_pdf,year,cites,title,authors,venue,doi,topics,file,pdf_url,landing
,2016,,VANET Aレビューにおけるsybil攻撃を単離するための技術【Powered by NICT】,Kaur Supinder; Kumar Anil,IEEE Conference Proceedings,,Other / general Sybil defence,,,https://jglobal.jst.go.jp/detail?JGLOBAL_ID=201602217620651590
,2015,,A sybil authentication and attack detection protocol on vehicular Ad Hoc networks with support for anonymity control.,Thiago Bruno Melo de. SALES,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),,"Cryptography, PKI & pseudonyms",,https://dspace.sti.ufcg.edu.br/handle/riufcg/8556,https://dspace.sti.ufcg.edu.br/handle/riufcg/8556
YES,2015,,A Traffic Flow Theory Aided Physical Measurement-Based Sybil Nodes Detection Mechanism in Vehicular Ad-hoc Networks,Dongxu Jin; JooSeok Song,The International journal of networked and distributed computing,10.2991/ijndc.2015.3.2.1,Datasets & simulation,pdfs/2015_Jin_A_Traffic_Flow_Theory_Aided_Physical_MeasurementBased_Sybil_Nodes_Detection_Mechanism_in_V.pdf,https://www.atlantis-press.com/article/16390.pdf,https://doi.org/10.2991/ijndc.2015.3.2.1
YES,2015,,ICMP and Monitoring to Detect and IsolateSybil Attack in VANET,Jaydeep P. Kateshiya; Anup Parkash Singh,International Journal of Innovative Research in Science Engineering and Technology,10.15680/ijirset.2015.0405056,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",pdfs/2015_Kateshiya_ICMP_and_Monitoring_to_Detect_and_IsolateSybil_Attack_in_VANET.pdf,,http://ijirset.com/upload/2015/may/56_13_ICMP.pdf
,2014,,Research on Detection Schemes of Sybil Attack in VANETs,Chunya Li,,,Surveys & reviews,,,https://en.cnki.com.cn/Article_en/CJFDTOTAL-JSJA2014S2059.htm
,2014,,TECHNOLOGY Sybil Attack in Vanet by Neighbourhood Information Passing,Pankaj Kumar; Prof Vikas Kumar; Jagjit Singh,,,RSU / infrastructure-assisted; Datasets & simulation,,,http://ijesrt.com/issues%20pdf%20file/Archives-2014/September-2014/74.pdf
YES,2014,,Sybil Attack Detection in Urban Vehicular Networks,S. Suganya,,,Other / general Sybil defence,pdfs/2014_Suganya_Sybil_Attack_Detection_in_Urban_Vehicular_Networks.pdf,,https://www.ijert.org/research/sybil-attack-detection-in-urban-vehicular-networks-IJERTV3IS10403.pdf
,2014,,A Physical Measurement-Based Sybil Nodes Detection Mechanism in VANETs,Dongxu Jin; Fei Shi; JooSeok Song,,,RSU / infrastructure-assisted; Datasets & simulation,,,http://www.seekdl.org/upload/files/20140625_094751.pdf
YES,2014,,Strategical Comparison: Recognizing and Evicting Sybil Attack in Vehicular Ad Hoc Networks,Sagar Narang; Kundan Munjal,International Journal of Computer Applications,10.5120/17602-8216,Other / general Sybil defence,pdfs/2014_Narang_Strategical_Comparison_Recognizing_and_Evicting_Sybil_Attack_in_Vehicular_Ad_Hoc_Networks.pdf,https://doi.org/10.5120/17602-8216,https://doi.org/10.5120/17602-8216
,2014,,A Novel Sybil Attack Detection Mechanism in Urban Vehicular Networks,Jalluri Geetha Renuka; Syed Gulam Gouse,,,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.416.7107
YES,2014,,Sybil Attack Detection in Urban VehicularNetworks,R. Rajesh Perumal; Kiran Sridhar,International Journal of Innovative Research in Computer and Communication Engineering,,"Cryptography, PKI & pseudonyms; Trust / reputation; RSU / infrastructure-assisted; Datasets & simulation",pdfs/2014_Perumal_Sybil_Attack_Detection_in_Urban_VehicularNetworks.pdf,,https://www.rroij.com/open-access/sybil-attack-detection-in-urban-vehicularnetworks.pdf
,2013,,Privacy friendly detection technique of sybil attack in vehicular ad hoc network (VANET),Seyed Mohammad Cheraghi,,,RSU / infrastructure-assisted; Datasets & simulation,,,http://eprints.utm.my/id/eprint/34666/
YES,2013,,Sybil detection in vehicular networks,Muhammad Ibrahim Almutaz,,,Other / general Sybil defence,pdfs/2013_Almutaz_Sybil_detection_in_vehicular_networks.pdf,,https://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=5479&context=masters_theses
YES,2013,,Cooperative Sybil Attack Detection in Privacy Preserved VANETs,Sita Kumari,,,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",pdfs/2013_Kumari_Cooperative_Sybil_Attack_Detection_in_Privacy_Preserved_VANETs.pdf,,http://www.ijcst.com/vol42/1/b1447.pdf
,2013,,Improving neighboring vehicle method to detect sybile attack in vehicular ad hoc network,Hoda Soltanian Bojnord,,,Trust / reputation; Datasets & simulation,,,http://eprints.utm.my/id/eprint/48219/
,2012,,Privacy Preservation of Rsu Against Sybil Attacks in Vanet,S Preetha; Krithika Prakash,International Journal of Communication and Networking System,10.20894/ijcnes.103.001.002.004,RSU / infrastructure-assisted,,,https://doi.org/10.20894/ijcnes.103.001.002.004
,2009,,Sybil Nodes Detection based on Received Signal Strength Variations within VANETs,Mohamed Salah Bouassida; Gilles Guette; M. Shawky; Bertrand Ducourthial,HAL (Le Centre pour la Communication Scientifique Directe),,RSSI / signal-strength & PHY,,,https://hal.science/hal-00333140
,2008,,Sybil Attacks on Vehicular Ad-Hoc Networks,Shang-Yeu Chang; Lin Yang; Jinhua Guo,SAE technical papers on CD-ROM/SAE technical paper series,10.4271/2008-01-0770,Other / general Sybil defence,,http://arxiv.org/abs/1905.03507,https://doi.org/10.4271/2008-01-0770
